month,z20_clim_mean,z20_clim_std,z20_clim_count
1,31.328506561991844,7.184883873157058,20
2,31.737896026834058,5.7763503459502585,20
3,31.26236079585372,5.982291301702942,20
4,30.210767441478232,6.268789551423693,20
5,30.949408431623812,8.499686692978722,20
6,27.13078046147738,12.43486046805556,20
7,17.879496375987184,13.673013584346613,20
8,10.321502841232187,7.317018886651646,20
9,7.578922015824835,5.289105459923877,20
10,7.662574685091156,5.993687019678875,20
11,12.270654252295513,8.684379362035068,20
12,25.13938420558332,9.075322672481766,20
